user_id,movie_id,rates
1,25726614,4.0
1,5045678,4.0
1,26887890,3.0
1,26280528,5.0
1,25827935,4.0
1,26101255,2.0
1,26717795,2.0
1,26429879,1.0
1,26219893,3.0
1,3230115,2.0
1,25986180,4.0
1,26754643,3.0
1,26352440,1.0
1,26235349,5.0
1,6860147,4.0
1,22939161,3.0
1,26352445,2.0
1,26939209,4.0
1,26695145,3.0
1,25815034,4.0
1,26125779,3.0
1,26301582,3.0
1,25983044,2.0
1,25825412,2.0
1,26325320,4.0
1,25911694,2.0
1,26392843,2.0
1,19951149,2.0
1,21941770,3.0
1,26169607,2.0
1,26879060,4.0
1,20471852,3.0
1,26934937,3.0
1,26683290,4.0
1,26000205,1.0
1,26527993,3.0
1,26704620,2.0
1,24529353,3.0
1,26630781,4.0
1,24860318,2.0
1,26977230,2.0
1,21324900,4.0
1,26389069,3.0
1,26314816,3.0
1,25921812,4.0
1,11526817,1.0
1,26339213,3.0
1,26684564,3.0
1,4811813,2.0
1,25849006,5.0
1,25894431,2.0
1,26658568,3.0
1,3569910,2.0
1,26353372,4.0
1,26375609,3.0
1,20505982,3.0
1,24751763,4.0
1,25875021,3.0
1,7051830,4.0
1,25789402,2.0
1,26279124,2.0
1,26437237,3.0
1,26410594,3.0
1,26266072,3.0
1,26696879,4.0
1,2131669,1.0
1,26351867,2.0
1,26336253,3.0
1,26352412,3.0
1,3025375,3.0
1,26410593,3.0
2,25726614,3.0
2,24529353,2.0
2,20505982,5.0
2,5045678,3.0
2,25875021,3.0
2,26280528,3.0
2,25793398,3.0
2,25827935,4.0
2,26630781,3.0
2,26648249,4.0
2,26325320,5.0
2,25911694,2.0
2,25980443,4.0
2,26374205,4.0
2,26977230,5.0
2,26000205,4.0
2,26336253,3.0
2,26389069,3.0
2,26437237,1.0
2,25921812,5.0
2,25986180,5.0
2,22266320,3.0
2,24860318,4.0
2,26352440,3.0
2,26696879,5.0
2,4811813,4.0
2,24751763,4.0
2,25849006,4.0
2,26658568,3.0
2,3025375,2.0
2,26219893,2.0
2,25815034,5.0
2,26125779,4.0
2,24325861,4.0
2,26685451,5.0
3,24529353,3.0
3,26375609,2.0
3,24751763,5.0
3,26280528,1.0
3,25827935,1.0
3,21817627,5.0
3,26325320,5.0
3,25911694,1.0
3,26876595,2.0
3,26977230,3.0
3,25797778,1.0
3,26000205,4.0
3,2131669,3.0
3,26352440,2.0
3,4811813,3.0
3,20471852,5.0
3,26351867,1.0
3,25849006,1.0
3,25986180,5.0
