,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.4,4480.0,Hrútar,2015,格里莫·哈克纳尔森 Grímur Hákonarson,",西德格尔·西乌尔乔森 Sigurður Sigurjónsson,西奥多·尤利乌松 Theódór Júlíusson,夏洛特·博芬 Charlotte Bøving,乔恩·博诺伊森 Jon Benonysson",",剧情",",冰岛,丹麦,挪威,波兰","1116,冰岛","549,剧情","447,2015","385,亲情","333,温情","319,丹麦","285,戛纳",26353884.0
1,6.4,72.0,Efterskalv,2015,马格努斯·范·霍恩 Magnus von Horn,None,",剧情",",瑞典,法国,波兰","36,瑞典","20,2015","14,瑞典电影","14,剧情","13,波兰","10,法国","9,MagnusVonHorn",26353885.0
2,7.3,2271.0,Closet Monster,2015,斯蒂芬·邓恩 Stephen Dunn,",康纳·杰斯普 Connor Jessup,阿隆·艾布拉姆斯 Aaron Abrams,伊莎贝拉·罗西里尼 Isabella Rossellini,乔安妮·凯莉 Joanne Kelly",",剧情,同性",",加拿大","590,同性","460,加拿大","316,青春","312,LGBT","308,成长","221,2015","216,剧情",26353895.0
3,,0.0,向北方,2015,刘浩 Hao Liu,None,",剧情",",中国大陆","44,南笙","15,独立电影","14,为了叔","10,剧情","10,中国电影","8,国产电影","7,好想看",26616042.0
4,7.7,246.0,"Vorstadtkrokodile, Die",2009,Christian Ditter,None,",家庭",",德国","82,德国","56,儿童","45,冒险","41,德国电影","34,青春","29,正太","28,少年",3154165.0
5,6.5,183.0,魔法少女リリカルなのはViVid,2015,伊藤祐毅,",水桥薰 Kaori Mizuhashi,能登麻美子 Mamiko Noto,田村由加莉 Yukari Tamura,水树奈奈 Nana Mizuki",",动画",",日本","37,动画","31,日本","22,日本动画","16,魔法少女","16,アニメ","13,动漫","13,2015",25960699.0
6,8.7,6760.0,xxxHOLiC 春夢記 前編,2009,水岛努,",大原沙也加,福山润,中井和哉,伊藤静",",动画,剧情,悬疑",",日本","1179,CLAMP","915,xxxHOLic","848,动画","745,日本","712,日本动画","670,动漫","552,OVA",3154176.0
7,7.0,156.0,超能力研究部の3人,2014,山下敦弘 Nobuhiro Yamashita,",秋元真夏 Manatsu Akimoto,生田绘梨花 Erika Ikuta,桥本奈奈未 Nanami Hashimoto,碓井将大 Usui Masahiro",",喜剧",",日本","56,日本","51,山下敦弘","30,日本电影","25,乃木坂46","22,2014","18,生田绘梨花","13,秋元真夏",25960705.0
8,7.4,2577.0,Le Jour des Corneilles,2012,Jean Christophe Dessaint,",洛兰特·道驰 Lorànt Deutsch,让·雷诺 Jean Reno,伊莎贝尔·卡雷 Isabelle Carré,克劳德·夏布洛尔 Claude Chabrol",",动画",",法国","1008,动画","854,法国","331,温情","209,2012","187,亲情","180,成长","128,人性",6299910.0
9,6.9,199.0,みんな集まれ！ファルコム学園 SC,2014,None,",梶裕贵 Yûki Kaji,進藤尚美,神田朱未 Akemi Kanda,兴津和幸 Kazuyuki Okitsu",",剧情,动画,奇幻",",日本","54,动画","48,泡面番","37,日本","23,日本动画","18,2015","17,アニメ","16,动漫",25960718.0
10,7.8,230.0,OVA  這いよれ！ニャル子さんF,2015,長澤剛,",阿澄佳奈 Kana Asumi,喜多村英梨 Eri Kitamura,松来未祐 Miyu Matsuki,钉宫理惠 Rie Kugimiya",None,",日本","49,OVA","40,动画","38,日本","27,2015","25,日本动画","16,喜剧","15,后宫",25960719.0
11,,0.0,The Sexplorer,1975,Derek Ford,None,",科幻,喜剧",",英国","4,Cult","3,科幻","2,心刀","2,外星人","2,喜剧","1,美国电影","1,1975",3940624.0
12,5.7,144.0,好男儿之情感护理,2014,杜军,",张译 Yi Zhang,高露 Lu Gao,李晨 Chen Li,战菁一 Jingyi Zhan",",剧情,爱情",",中国大陆","24,张译","21,国产电视剧","13,电视剧","9,高露","9,2015","6,看过的电视剧","6,爱情",25698577.0
13,4.6,5662.0,守护丽人,2017,袁英明 Peter Yuen,",李小璐 Xiaolu Li,张译 Yi Zhang,李智楠 Zhi-nan Li,江雪 Xue Jiang",",剧情,爱情",",中国大陆","528,李小璐","443,国产电视剧","396,看过的电视剧","358,华语标签","350,张译","307,电视剧","260,爱情",25960721.0
14,6.2,899.0,小爸妈,2015,毛小睿 Xiaorui Mao,",任重 Zhong Ren,高露 Lu Gao,王耀庆 David Wang,王阳 Yang Wang",",剧情,家庭",",中国大陆","83,国产电视剧","82,家庭","61,任重","60,高露","57,电视剧","44,2015","34,中国",25960722.0
15,7.6,44.0,A Ay,1988,热哈·埃尔坦 Reha Erdem,None,",剧情",",土耳其","49,土耳其","13,1980s","12,Reha_Erdem","11,黑白","11,RehaErdem","6,土耳其电影","6,1988",3023125.0
16,7.9,2306.0,秦时明月特别篇之罗生堂下,2014,沈乐平 Leping Shen,None,",剧情,动画,奇幻,冒险,短片,古装",",中国大陆","388,秦时明月","274,国产动画","268,动画","210,武侠","193,动漫","169,中国","112,短片",25960725.0
17,8.6,1792.0,The War at Home,2005,Rob Lotterstein,",迈克尔·拉帕波特 Michael Rapaport,安妮塔·巴罗内 Anita Barone,Kyle Sullivan,凯莉·黛弗 Kaylee DeFer",",喜剧,家庭",",美国","690,美剧","373,喜剧","247,看过的电视剧","201,英语标签","168,美国","144,家庭","136,家庭战争",1434522.0
18,7.9,250.0,Pop-Up Porno,2015,斯蒂芬·邓恩 Stephen Dunn,None,",喜剧,同性",",美国","64,短片","55,同性","43,喜剧","36,加拿大","30,2015","28,美国","21,LGBT",26616104.0
19,7.3,1803.0,Falling Skies,2013,格雷格·毕曼 Greg Beeman,",诺亚·怀尔 Noah Wyle,穆恩·布拉得古德 Moon Bloodgood,德鲁·罗伊 Drew Roy,Connor Jessup",",动作,科幻,惊悚",",美国","428,美剧","405,科幻","248,看过的电视剧","233,英语标签","137,外星人","119,陨落星辰","119,斯皮尔伯格",19931437.0
20,7.5,3054.0,Watercolors,2008,David Oliveras,",Tye Olson,Kyle Clare,Ellie Araiza,Casey Kramer",",剧情,爱情,同性",",美国","697,同志","628,美国","492,青春","420,爱情","295,同性","286,美国电影","201,gay",3285295.0
21,7.5,20770.0,เด็กหอ,2006,Songyos Sugmakanan,None,",剧情,恐怖",",泰国","4594,泰国","3798,恐怖","2848,温情","2072,泰国电影","1507,童年","1420,感人","1078,惊悚",3023155.0
22,9.1,1705.0,꽃보다 청춘,2014,罗英石 Young-seok Na,None,",真人秀",",韩国","246,韩国综艺","239,综艺","184,韩国","161,tvN","147,真人秀","139,罗英石","102,旅游",25960755.0
