,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,8.9,221.0,Bill Burr: I'm Sorry You Feel That Way,2014,None,None,",喜剧",",美国","30,美国","24,BillBurr","23,脱口秀","23,Stand-Up","23,Netflix","15,喜剧","15,stand-up",25961499
1,6.6,4468.0,私の男,2014,熊切和嘉 Kazuyoshi Kumakiri,",浅野忠信 Tadanobu Asano,二阶堂富美 Fumi Nikaidou,茂吕师冈 Moro Morooka,河井青叶 Aoba Kawai",",剧情,爱情",",日本","1127,日本","777,日本电影","707,浅野忠信","464,爱情","427,2014","423,二階堂ふみ","294,熊切和嘉",21767208
2,9.1,3413.0,Alfred Hitchcock Presents ,1955,阿尔弗雷德·希区柯克 Alfred Hitchcock,None,",犯罪,剧情,悬疑,惊悚",",美国","1831,希区柯克","1282,悬疑","765,短片","638,美国","633,美剧","415,经典","220,悬念",3286056
3,7.1,11196.0,真命小和尚,1997,None,",曹骏 Jun Cao,淳于珊珊 Shanshan Chunyu,陈天文 Tianwen Chen,向云 Yun Xiang",",剧情,动作",",中国大陆,新加坡","1022,古装","584,新加坡","571,武侠","554,看过的电视剧","455,华语标签","411,童年","380,大陆",2761775
4,7.1,184.0,生命的河流,2014,杨平道,None,",剧情,纪录片",",中国大陆","53,纪录片","44,杨平道","34,独立电影","28,中国","18,CIFF","17,2014","16,中国独立电影",25961519
5,4.4,53.0,Isolated,2006,Eric Nichols,None,",恐怖,惊悚",",美国","11,美国","7,恐怖","5,悬疑","5,2006","4,隔离/幽黯森林","4,隔离","3,恐怖？",3154995
6,6.3,657.0,魔弾の王と戦姫,2014,佐藤竜雄 Tatsuo Sato,",石川界人 Kaito Ishikawa,户松遥 Haruka Tomatsu,上坂堇 Uesaka Sumire,井口裕香 Iguchi Yuka",",动画",",日本","102,动画","87,日本动画","87,日本","66,2014","64,动漫","60,后宫","31,战争",21767220
7,8.0,67.0,乌鲁布铁,2014,顾桃 Tao Gu,None,",纪录片",",中国大陆","39,纪录片","30,顾桃","13,中国","12,独立电影","11,鄂伦春","11,2014","7,中国大陆",25961524
8,6.2,53.0,吠,2014,耿艺,None,",纪录片",",中国大陆","11,纪录片","10,短片","7,动物保护","6,中国","4,独立电影","4,CIFF","3,大陆",25961527
9,7.3,446.0,Knallhart,2006,德勒夫·巴克 Detlev Buck,None,",犯罪,剧情",",德国","147,德国","119,青春","81,德国电影","69,犯罪","36,2006","30,DavidKross","26,类别青春",1582136
